fid,station_no,Name,Location,Latitude,Longitude,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_2,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,trac_area,intersect_area
"20","20",Convention Center Station,"727 Botham Jean Blvd., Dallas",32.77259251,-96.80428582,"48","113","003103","48113003103","31.03",Census Tract 31.03,G5020,S,"512035","0","+32.7809629","-096.7941811",512034.078477359,3955.611
"20","20",Convention Center Station,"727 Botham Jean Blvd., Dallas",32.77259251,-96.80428582,"48","113","003102","48113003102","31.02",Census Tract 31.02,G5020,S,"465410","0","+32.7787201","-096.8038887",465411.238547097,302086.742
"20","20",Convention Center Station,"727 Botham Jean Blvd., Dallas",32.77259251,-96.80428582,"48","113","020402","48113020402","204.02",Census Tract 204.02,G5020,S,"5306753","80768","+32.7687223","-096.7929609",5387529.46209303,1278840.026
"21","21",Cedars Station,"1112 Belleview St., Dallas.",32.76898185,-96.79351706,"48","113","010002","48113010002","100.02",Census Tract 100.02,G5020,S,"1775475","0","+32.7727791","-096.8133108",1775474.54753551,39.245
"21","21",Cedars Station,"1112 Belleview St., Dallas.",32.76898185,-96.79351706,"48","113","020402","48113020402","204.02",Census Tract 204.02,G5020,S,"5306753","80768","+32.7687223","-096.7929609",5387529.46209303,2000836.606
"22","22",8th & Corinth Station,"1740 E. 8th St., Dallas",32.74840239,-96.7984724,"48","113","021100","48113021100","211",Census Tract 211,G5020,S,"11000161","68640","+32.7356814","-096.7724914",11068799.5287624,714305.838
"22","22",8th & Corinth Station,"1740 E. 8th St., Dallas",32.74840239,-96.7984724,"48","113","021000","48113021000","210",Census Tract 210,G5020,S,"4383139","0","+32.7445167","-096.8042584",4383137.71470402,1286570.013
"23","23",Dallas Zoo Station,"614 S. Ewing Ave., Dallas",32.74097622,-96.8129511,"48","113","004800","48113004800","48",Census Tract 48,G5020,S,"1691169","0","+32.7436867","-096.8175422",1691164.12602367,847234.685
"23","23",Dallas Zoo Station,"614 S. Ewing Ave., Dallas",32.74097622,-96.8129511,"48","113","005400","48113005400","54",Census Tract 54,G5020,S,"2645077","0","+32.7273108","-096.8174351",2645081.1573753,324895.620
"23","23",Dallas Zoo Station,"614 S. Ewing Ave., Dallas",32.74097622,-96.8129511,"48","113","021000","48113021000","210",Census Tract 210,G5020,S,"4383139","0","+32.7445167","-096.8042584",4383137.71470402,828745.556
"24","24",Tyler/Vernon Station,"1225 S. Tyler St., Dallas",32.7334052,-96.83840128,"48","113","005000","48113005000","50",Census Tract 50,G5020,S,"1416298","0","+32.7384270","-096.8303481",1416298.07071729,397550.736
"24","24",Tyler/Vernon Station,"1225 S. Tyler St., Dallas",32.7334052,-96.83840128,"48","113","005100","48113005100","51",Census Tract 51,G5020,S,"986541","0","+32.7367385","-096.8424449",986545.340429186,620549.162
"24","24",Tyler/Vernon Station,"1225 S. Tyler St., Dallas",32.7334052,-96.83840128,"48","113","005200","48113005200","52",Census Tract 52,G5020,S,"1490146","0","+32.7406185","-096.8508796",1490145.96689828,57982.548
"24","24",Tyler/Vernon Station,"1225 S. Tyler St., Dallas",32.7334052,-96.83840128,"48","113","006200","48113006200","62",Census Tract 62,G5020,S,"2808984","7740","+32.7239994","-096.8330548",2816725.0298195,651945.076
"24","24",Tyler/Vernon Station,"1225 S. Tyler St., Dallas",32.7334052,-96.83840128,"48","113","006302","48113006302","63.02",Census Tract 63.02,G5020,S,"1646368","0","+32.7251814","-096.8474226",1646372.05785913,272848.328
"25","25",Hampton Station,"2002 S. Hampton Road, Dallas",32.72651727,-96.85537573,"48","113","010804","48113010804","108.04",Census Tract 108.04,G5020,S,"1973916","0","+32.7132352","-096.8627603",1973917.38383458,193665.286
"25","25",Hampton Station,"2002 S. Hampton Road, Dallas",32.72651727,-96.85537573,"48","113","006401","48113006401","64.01",Census Tract 64.01,G5020,S,"778638","0","+32.7258657","-096.8636146",778636.867049068,367213.685
"25","25",Hampton Station,"2002 S. Hampton Road, Dallas",32.72651727,-96.85537573,"48","113","005100","48113005100","51",Census Tract 51,G5020,S,"986541","0","+32.7367385","-096.8424449",986545.340429186,17495.636
"25","25",Hampton Station,"2002 S. Hampton Road, Dallas",32.72651727,-96.85537573,"48","113","005300","48113005300","53",Census Tract 53,G5020,S,"2100610","0","+32.7340858","-096.8602528",2100610.66517691,647070.337
"25","25",Hampton Station,"2002 S. Hampton Road, Dallas",32.72651727,-96.85537573,"48","113","006301","48113006301","63.01",Census Tract 63.01,G5020,S,"2549959","0","+32.7130682","-096.8486150",2549961.48526744,39589.260
"25","25",Hampton Station,"2002 S. Hampton Road, Dallas",32.72651727,-96.85537573,"48","113","006302","48113006302","63.02",Census Tract 63.02,G5020,S,"1646368","0","+32.7251814","-096.8474226",1646372.05785913,735841.649
"26","26",Westmoreland Station,"2646 S. Westmoreland Road, Dallas",32.71993994,-96.87201963,"48","113","006402","48113006402","64.02",Census Tract 64.02,G5020,S,"1332156","0","+32.7275108","-096.8734271",1332153.8512511,589834.723
"26","26",Westmoreland Station,"2646 S. Westmoreland Road, Dallas",32.71993994,-96.87201963,"48","113","010804","48113010804","108.04",Census Tract 108.04,G5020,S,"1973916","0","+32.7132352","-096.8627603",1973917.38383458,160653.694
"26","26",Westmoreland Station,"2646 S. Westmoreland Road, Dallas",32.71993994,-96.87201963,"48","113","010805","48113010805","108.05",Census Tract 108.05,G5020,S,"3055486","0","+32.7115251","-096.8793984",3055487.31474846,789268.908
"26","26",Westmoreland Station,"2646 S. Westmoreland Road, Dallas",32.71993994,-96.87201963,"48","113","006401","48113006401","64.01",Census Tract 64.01,G5020,S,"778638","0","+32.7258657","-096.8636146",778636.867049068,179756.913
"26","26",Westmoreland Station,"2646 S. Westmoreland Road, Dallas",32.71993994,-96.87201963,"48","113","006502","48113006502","65.02",Census Tract 65.02,G5020,S,"1688019","0","+32.7225437","-096.8837208",1688020.49369879,281361.614
